調整日期,項目,單位,數量
19790801,電燈用電_包燈(100瓦以下),元／每燈每月,51
19790801,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,3.5
19790801,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,3.5
19790801,電燈用電_表燈_營業用(331~500度)_夏月,元／每度,3.9
19790801,電燈用電_表燈_營業用(331~500度)_非夏月,元／每度,3.9
19790801,電燈用電_表燈_營業用(501~700度)_夏月,元／每度,4.2
19790801,電燈用電_表燈_營業用(501~700度)_非夏月,元／每度,4.2
19790801,電燈用電_表燈_營業用(701度以上)_夏月,元／每度,4.2
19790801,電燈用電_表燈_營業用(701度以上)_非夏月,元／每度,4.2
19790801,電燈用電_表燈_非營業用(110度以下)_夏月,元／每度,1.2
19790801,電燈用電_表燈_非營業用(110度以下)_非夏月,元／每度,1.2
19790801,電燈用電_表燈_非營業用(111~330度)_夏月,元／每度,1.8
19790801,電燈用電_表燈_非營業用(111~330度)_非夏月,元／每度,1.8
19790801,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,2.3
19790801,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,2.3
19790801,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,2.3
19790801,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,2.3
19790801,電燈用電_表燈_非營業用(701度以上)_夏月,元／每度,2.3
19790801,電燈用電_表燈_非營業用(701度以上)_非夏月,元／每度,2.3
19790801,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,126
19790801,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,126
19790801,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,108
19790801,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,108
19790801,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,171
19790801,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,171
19790801,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,150
19790801,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,150
19790801,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,105
19790801,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,105
19790801,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,144
19790801,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,144
19790801,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,138
19790801,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,138
19800101,電燈用電_包燈(100瓦以下),元／每燈每月,66
19800101,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,4.1
19800101,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,4.1
19800101,電燈用電_表燈_營業用(331~500度)_夏月,元／每度,5
19800101,電燈用電_表燈_營業用(331~500度)_非夏月,元／每度,5
19800101,電燈用電_表燈_營業用(501~700度)_夏月,元／每度,5
19800101,電燈用電_表燈_營業用(501~700度)_非夏月,元／每度,5
19800101,電燈用電_表燈_營業用(701度以上)_夏月,元／每度,5
19800101,電燈用電_表燈_營業用(701度以上)_非夏月,元／每度,5
19800101,電燈用電_表燈_非營業用(110度以下)_夏月,元／每度,1.4
19800101,電燈用電_表燈_非營業用(110度以下)_非夏月,元／每度,1.4
19800101,電燈用電_表燈_非營業用(111~330度)_夏月,元／每度,2.25
19800101,電燈用電_表燈_非營業用(111~330度)_非夏月,元／每度,2.25
19800101,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,2.9
19800101,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,2.9
19800101,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,2.9
19800101,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,2.9
19800101,電燈用電_表燈_非營業用(701度以上)_夏月,元／每度,2.9
19800101,電燈用電_表燈_非營業用(701度以上)_非夏月,元／每度,2.9
19800101,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,156
19800101,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,156
19800101,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,138
19800101,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,138
19800101,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,201
19800101,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,201
19800101,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,177
19800101,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,177
19800101,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,111
19800101,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,111
19800101,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,153
19800101,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,153
19800101,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,147
19800101,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,147
19801001,電燈用電_包燈(100瓦以下),元／每燈每月,75
19801001,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,5.6
19801001,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,5.6
19801001,電燈用電_表燈_營業用(331~500度)_夏月,元／每度,6.3
19801001,電燈用電_表燈_營業用(331~500度)_非夏月,元／每度,6.3
19801001,電燈用電_表燈_營業用(501~700度)_夏月,元／每度,6.3
19801001,電燈用電_表燈_營業用(501~700度)_非夏月,元／每度,6.3
19801001,電燈用電_表燈_營業用(701度以上)_夏月,元／每度,6.3
19801001,電燈用電_表燈_營業用(701度以上)_非夏月,元／每度,6.3
19801001,電燈用電_表燈_非營業用(110度以下)_夏月,元／每度,2.3
19801001,電燈用電_表燈_非營業用(110度以下)_非夏月,元／每度,2.3
19801001,電燈用電_表燈_非營業用(111~330度)_夏月,元／每度,2.9
19801001,電燈用電_表燈_非營業用(111~330度)_非夏月,元／每度,2.9
19801001,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,3.8
19801001,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,3.8
19801001,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,3.8
19801001,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,3.8
19801001,電燈用電_表燈_非營業用(701度以上)_夏月,元／每度,3.8
19801001,電燈用電_表燈_非營業用(701度以上)_非夏月,元／每度,3.8
19801001,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,156
19801001,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,156
19801001,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,138
19801001,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,138
19801001,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,201
19801001,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,201
19801001,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,177
19801001,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,177
19801001,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,132
19801001,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,132
19801001,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,180
19801001,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,180
19801001,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,174
19801001,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,174
19810215,電燈用電_包燈(100瓦以下),元／每燈每月,81
19810215,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,6
19810215,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,6
19810215,電燈用電_表燈_營業用(331~500度)_夏月,元／每度,6.8
19810215,電燈用電_表燈_營業用(331~500度)_非夏月,元／每度,6.8
19810215,電燈用電_表燈_營業用(501~700度)_夏月,元／每度,6.8
19810215,電燈用電_表燈_營業用(501~700度)_非夏月,元／每度,6.8
19810215,電燈用電_表燈_營業用(701度以上)_夏月,元／每度,6.8
19810215,電燈用電_表燈_營業用(701度以上)_非夏月,元／每度,6.8
19810215,電燈用電_表燈_非營業用(110度以下)_夏月,元／每度,2.5
19810215,電燈用電_表燈_非營業用(110度以下)_非夏月,元／每度,2.5
19810215,電燈用電_表燈_非營業用(111~330度)_夏月,元／每度,3.2
19810215,電燈用電_表燈_非營業用(111~330度)_非夏月,元／每度,3.2
19810215,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,4.2
19810215,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,4.2
19810215,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,4.2
19810215,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,4.2
19810215,電燈用電_表燈_非營業用(701度以上)_夏月,元／每度,4.2
19810215,電燈用電_表燈_非營業用(701度以上)_非夏月,元／每度,4.2
19810215,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,165
19810215,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,165
19810215,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,141
19810215,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,141
19810215,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,210
19810215,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,210
19810215,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,180
19810215,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,180
19810215,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,138
19810215,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,138
19810215,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,186
19810215,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,186
19810215,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,180
19810215,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,180
19830317,電燈用電_包燈(100瓦以下),元／每燈每月,78
19830317,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,5.9
19830317,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,5.9
19830317,電燈用電_表燈_營業用(331~500度)_夏月,元／每度,6.7
19830317,電燈用電_表燈_營業用(331~500度)_非夏月,元／每度,6.7
19830317,電燈用電_表燈_營業用(501~700度)_夏月,元／每度,6.7
19830317,電燈用電_表燈_營業用(501~700度)_非夏月,元／每度,6.7
19830317,電燈用電_表燈_營業用(701度以上)_夏月,元／每度,6.7
19830317,電燈用電_表燈_營業用(701度以上)_非夏月,元／每度,6.7
19830317,電燈用電_表燈_非營業用(110度以下)_夏月,元／每度,2.4
19830317,電燈用電_表燈_非營業用(110度以下)_非夏月,元／每度,2.4
19830317,電燈用電_表燈_非營業用(111~330度)_夏月,元／每度,3.1
19830317,電燈用電_表燈_非營業用(111~330度)_非夏月,元／每度,3.1
19830317,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,4.1
19830317,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,4.1
19830317,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,4.1
19830317,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,4.1
19830317,電燈用電_表燈_非營業用(701度以上)_夏月,元／每度,4.1
19830317,電燈用電_表燈_非營業用(701度以上)_非夏月,元／每度,4.1
19830317,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,165
19830317,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,165
19830317,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,141
19830317,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,141
19830317,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,210
19830317,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,210
19830317,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,180
19830317,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,180
19830317,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,138
19830317,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,138
19830317,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,186
19830317,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,186
19830317,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,180
19830317,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,180
19840725,電燈用電_包燈(100瓦以下),元／每燈每月,78
19840725,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,5.9
19840725,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,5.9
19840725,電燈用電_表燈_營業用(331~500度)_夏月,元／每度,5.9
19840725,電燈用電_表燈_營業用(331~500度)_非夏月,元／每度,5.9
19840725,電燈用電_表燈_營業用(501~700度)_夏月,元／每度,5.9
19840725,電燈用電_表燈_營業用(501~700度)_非夏月,元／每度,5.9
19840725,電燈用電_表燈_營業用(701度以上)_夏月,元／每度,5.9
19840725,電燈用電_表燈_營業用(701度以上)_非夏月,元／每度,5.9
19840725,電燈用電_表燈_非營業用(110度以下)_夏月,元／每度,2.4
19840725,電燈用電_表燈_非營業用(110度以下)_非夏月,元／每度,2.4
19840725,電燈用電_表燈_非營業用(111~330度)_夏月,元／每度,3.1
19840725,電燈用電_表燈_非營業用(111~330度)_非夏月,元／每度,3.1
19840725,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,4.1
19840725,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,4.1
19840725,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,4.1
19840725,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,4.1
19840725,電燈用電_表燈_非營業用(701度以上)_夏月,元／每度,4.1
19840725,電燈用電_表燈_非營業用(701度以上)_非夏月,元／每度,4.1
19840725,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,165
19840725,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,165
19840725,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,141
19840725,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,141
19840725,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,210
19840725,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,210
19840725,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,180
19840725,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,180
19840725,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,138
19840725,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,138
19840725,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,186
19840725,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,186
19840725,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,180
19840725,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,180
19860313,電燈用電_包燈(100瓦以下),元／每燈每月,78
19860313,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,5.5
19860313,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,5.5
19860313,電燈用電_表燈_營業用(331~500度)_夏月,元／每度,5.5
19860313,電燈用電_表燈_營業用(331~500度)_非夏月,元／每度,5.5
19860313,電燈用電_表燈_營業用(501~700度)_夏月,元／每度,5.5
19860313,電燈用電_表燈_營業用(501~700度)_非夏月,元／每度,5.5
19860313,電燈用電_表燈_營業用(701度以上)_夏月,元／每度,5.5
19860313,電燈用電_表燈_營業用(701度以上)_非夏月,元／每度,5.5
19860313,電燈用電_表燈_非營業用(110度以下)_夏月,元／每度,2.4
19860313,電燈用電_表燈_非營業用(110度以下)_非夏月,元／每度,2.4
19860313,電燈用電_表燈_非營業用(111~330度)_夏月,元／每度,3.1
19860313,電燈用電_表燈_非營業用(111~330度)_非夏月,元／每度,3.1
19860313,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,4.1
19860313,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,4.1
19860313,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,4.1
19860313,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,4.1
19860313,電燈用電_表燈_非營業用(701度以上)_夏月,元／每度,4.1
19860313,電燈用電_表燈_非營業用(701度以上)_非夏月,元／每度,4.1
19860313,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,165
19860313,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,165
19860313,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,141
19860313,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,141
19860313,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,210
19860313,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,210
19860313,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,180
19860313,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,180
19860313,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,138
19860313,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,138
19860313,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,186
19860313,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,186
19860313,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,180
19860313,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,180
19860426,電燈用電_包燈(100瓦以下),元／每燈每月,74
19860426,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,5.23
19860426,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,5.23
19860426,電燈用電_表燈_營業用(331~500度)_夏月,元／每度,5.23
19860426,電燈用電_表燈_營業用(331~500度)_非夏月,元／每度,5.23
19860426,電燈用電_表燈_營業用(501~700度)_夏月,元／每度,5.23
19860426,電燈用電_表燈_營業用(501~700度)_非夏月,元／每度,5.23
19860426,電燈用電_表燈_營業用(701度以上)_夏月,元／每度,5.23
19860426,電燈用電_表燈_營業用(701度以上)_非夏月,元／每度,5.23
19860426,電燈用電_表燈_非營業用(110度以下)_夏月,元／每度,2.2
19860426,電燈用電_表燈_非營業用(110度以下)_非夏月,元／每度,2.2
19860426,電燈用電_表燈_非營業用(111~330度)_夏月,元／每度,2.85
19860426,電燈用電_表燈_非營業用(111~330度)_非夏月,元／每度,2.85
19860426,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,3.78
19860426,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,3.78
