行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
C.製造業,33 精密器械製造業,333 醫療機械器材設備製造,7627400,5965441,8253687,8672317,9844693,10039659,10181584,10594581,9309527,9604067,9221080,8783036
C.製造業,33 精密器械製造業,339 其他精密器械製造,13060179,10639313,13372652,13494165,14931234,15370649,15670404,16425942,15183476,15222802,15498875,15356452
C.製造業,39 其他工業製品製造業,391 育樂用品製造,11431172,8307439,11483128,11533222,13002441,12595682,13102823,14057639,12118671,12553089,11978160,11575905
C.製造業,39 其他工業製品製造業,399 其他工業製品製造,67084896,61035679,73669402,70984417,75336816,74037632,75024234,76990460,70628835,73971432,72064645,72475807
D.水、電、燃氣業,41 電力供應業,,53168201,-5082392,8284420,12336446,10401662,6974350,5687024,5696767,7693036,12745634,6332926,6300916
D.水、電、燃氣業,42 氣體燃料供應業,,37304222,34339188,32553319,36666157,41574514,40663892,43147685,43648801,41718650,46097779,38153197,43200671
D.水、電、燃氣業,43 蒸氣、熱水及熱能供應業,,2628182,9045703,-1969492,2182075,2732347,2356829,2764507,2931650,2264742,2099902,2223484,2579577
D.水、電、燃氣業,44 用水供應業,,97781797,93382225,101004314,96093880,103740127,102195292,105478205,105179402,97549051,104579838,103677705,106933078
E.營造業,45 土木工程業,,11035938,9993091,11257633,10680941,11152407,10836664,11118476,10999700,10310103,11241192,10309493,10135291
E.營造業,46 建築工程業,,28279586,23897364,25646967,26647618,30753144,30402918,33424276,33761145,31959861,31659367,30666061,28991952
E.營造業,47 機電、電路及管道工程業,,1361078,2508813,1403332,1345961,1510567,1541976,1520632,2516287,1712713,1689319,1521755,1395507
E.營造業,48 建物裝潢業,,43616,37269,38735,42283,55143,59396,66469,63201,62629,66907,62276,56397
E.營造業,49 其他營造業,,6854490,5794805,6456106,6095193,6858605,6869854,7660325,8068681,7861735,7581608,6935485,6366567
F.批發、零售及餐飲業,51 批發業,511 綜合商品批發,29404121,27057090,29652490,32594272,36628942,37310362,39644308,39931852,36688911,36391273,32888052,31705883
F.批發、零售及餐飲業,51 批發業,512 農、畜、水產品批發,8621486,7505674,8624119,9179899,10833934,11134241,11914726,12012799,11126129,10928497,9969147,9284696
F.批發、零售及餐飲業,51 批發業,513 食品什貨批發,5079135,4281881,4682685,4911907,6073556,6236310,6545589,6660680,6291288,6035799,5686820,5236073
F.批發、零售及餐飲業,51 批發業,514 布疋、衣著、服飾品批發,1706731,1383003,1557081,1656878,2123319,2271669,2517733,2544748,2499279,2330222,2165262,1942112
F.批發、零售及餐飲業,51 批發業,515 家具及室內裝設品批發,526008,409675,490967,521943,664340,716086,773007,793187,747024,708057,643014,589081
F.批發、零售及餐飲業,51 批發業,516 五金及家庭日常用品批發,2908609,2556378,2905307,3314190,3802517,3942654,4183507,4276178,4078203,4072325,3759225,3600395
F.批發、零售及餐飲業,51 批發業,517 化學製品批發,571535,425903,547793,561322,609208,596560,603974,635740,532707,549559,570696,535948
F.批發、零售及餐飲業,51 批發業,518 藥品、化妝品批發,697335,588178,657113,680534,883319,950431,1024880,1086034,1021792,939382,923921,834824
F.批發、零售及餐飲業,52 批發業,521 文教、育樂用品批發,696827,569391,642977,695305,953032,1049357,1160856,1209962,1149621,1074312,988973,843164
F.批發、零售及餐飲業,52 批發業,522 鐘錶、眼鏡批發,323176,264420,293115,300947,410213,428300,474718,488147,469238,441498,410061,361900
F.批發、零售及餐飲業,52 批發業,523 建材批發,632240,474210,579189,627434,682950,740204,779084,794692,782414,774027,732310,717314
F.批發、零售及餐飲業,52 批發業,524 燃料批發,885802,815964,967784,926628,991408,1088609,1208172,1086795,1106404,999824,908270,911702
F.批發、零售及餐飲業,52 批發業,525 機械器具批發,345938,273910,299917,334686,414955,459418,500255,512898,494036,445216,415809,364994
F.批發、零售及餐飲業,52 批發業,526 汽機車、自行車及其零件、配備批發,1425127,1061024,1209190,1326848,1797565,1945692,2223125,2299337,2132834,2117097,1993600,1718848
F.批發、零售及餐飲業,52 批發業,527 首飾及貴金屬批發,84485,69567,81517,83110,106434,111237,125037,124680,121617,110018,111872,101177
F.批發、零售及餐飲業,52 批發業,528 攝影器材批發,142134,118997,120877,138758,157578,183802,188665,186382,175568,162880,144146,127574
F.批發、零售及餐飲業,52 批發業,529 其他批發,3004150,2377937,2585094,2852913,3543237,3668101,3874061,4088323,3896878,3768720,3678982,3405153
F.批發、零售及餐飲業,53 零售業,531 綜合商品零售,234910404,211340132,231880959,251553642,292648561,301089716,321180032,323836186,302078732,303522455,272813156,258132543
F.批發、零售及餐飲業,53 零售業,532 農、畜、水產品零售,9952168,8552387,9762078,10510584,12583772,12811431,13716325,14654700,13842051,13474056,12330300,11542407
F.批發、零售及餐飲業,53 零售業,533 食品什貨零售,17640658,14962181,16423763,17512417,22242804,22788055,24667898,25371510,24524648,23575982,21899882,19770522
F.批發、零售及餐飲業,53 零售業,534 布疋、衣著、服飾品零售,9876074,8114666,8945841,9369646,12746142,13532676,15168499,15654785,14811589,13862707,12996901,11230374
F.批發、零售及餐飲業,53 零售業,535 家具及室內裝設品零售,1403464,1181932,1321157,1486108,1850273,1860512,2049487,2166555,2044922,1940397,1715001,1489605
F.批發、零售及餐飲業,53 零售業,536 五金及家庭日常用品零售,3723710,3056443,3324506,3551519,4721070,4967530,5546530,5626786,5427985,5013291,4636956,4158670
F.批發、零售及餐飲業,53 零售業,537 化學製品零售,154903,138412,156138,148964,185757,166017,174876,186427,182405,163204,159568,161316
F.批發、零售及餐飲業,53 零售業,538 藥品、化妝品零售,2630874,2158079,2407465,2512660,3438770,3655590,4191464,4364319,4183809,3895781,3702610,3194860
F.批發、零售及餐飲業,54 零售業,541 文教、育樂用品零售,3580285,2944421,3264482,3483435,4705524,5032227,5568725,5784554,5558166,5224883,4822543,4213263
F.批發、零售及餐飲業,54 零售業,542 鐘錶、眼鏡零售,1651910,1388053,1503344,1585236,2133096,2256368,2500268,2572162,2456949,2258004,2088850,1802094
F.批發、零售及餐飲業,54 零售業,543 建材零售,303427,245057,279735,278920,333808,356561,378042,382740,362631,344003,369024,319595
F.批發、零售及餐飲業,54 零售業,544 燃料零售,3420482,2967073,3406168,3239258,3673286,3479010,3763702,3876290,3721162,3585052,3563613,3473571
F.批發、零售及餐飲業,54 零售業,545 機械器具零售,755249,632239,720639,762614,965039,986486,1084146,1119113,1028403,947647,895514,827339
F.批發、零售及餐飲業,54 零售業,546 汽機車、自行車及其零件、配備零售,2908887,2291565,2622623,2904117,4091409,4425708,5042868,5166862,4801593,4545969,4230285,3631363
F.批發、零售及餐飲業,54 零售業,547 首飾及貴金屬零售,621565,537664,569542,630959,813923,887679,1008221,1039865,937962,834183,772452,662071
F.批發、零售及餐飲業,54 零售業,548 攝影器材零售,166252,142361,150876,158467,221782,251923,297283,314934,291854,258730,229935,187984
F.批發、零售及餐飲業,55 零售業,551 中古商品零售,96374,89190,89282,101280,120686,123988,134325,138660,140768,129742,129981,130697
F.批發、零售及餐飲業,55 零售業,559 其他零售,13422091,12009106,13016144,14133329,16712222,17469127,18913048,19371805,18398089,17575522,16260603,15130770
F.批發、零售及餐飲業,56 國際貿易業,,8559022,6727112,8803007,9609773,11376949,12251890,12795098,13440022,11322699,11125886,9836495,9092907
F.批發、零售及餐飲業,57 餐飲業,571 餐館業,68161428,58126188,64733297,67280610,88395828,92820148,102992442,105463980,100547858,96547717,89299905,79546612
F.批發、零售及餐飲業,57 餐飲業,572 茶館及飲料店業,5397114,4584616,5061250,5281922,6995445,7306640,8170515,8402060,8016064,7639606,7236421,6343276
F.批發、零售及餐飲業,57 餐飲業,579 其他餐飲業,14310585,12275219,13582967,14174551,18501872,19292999,21271861,21780228,20848526,19824549,18313169,16181478
G.運輸、倉儲及通信業,61 運輸業,611 陸上運輸業,168131013,158724642,168759853,178994098,188395264,192115283,200819705,205071483,189214933,193078862,178544245,182994255
G.運輸、倉儲及通信業,61 運輸業,612 水上運輸業,1703876,1519981,1630764,1949088,1936435,2314792,2245656,2291927,2125975,2105557,1803313,1961168
G.運輸、倉儲及通信業,61 運輸業,613 航空運輸業,27812131,25301155,28170763,31219195,35685119,37068893,39631419,40480273,42905234,27407197,30443319,29526286
G.運輸、倉儲及通信業,61 運輸業,614 儲配運輸物流業,5922911,5189304,5832263,6209905,7103936,7641282,8120415,8429607,7549284,7442093,6916262,6795069
G.運輸、倉儲及通信業,61 運輸業,615 運輸服務業,8681463,7832902,8831612,10236580,11536547,12357425,13101252,13015531,11969963,11986483,10136443,9469657
G.運輸、倉儲及通信業,61 運輸業,616 運輸服務業,2576516,2467746,2845340,3477131,3625998,4440461,5479476,5614891,5236718,4990964,4327773,3957822
G.運輸、倉儲及通信業,62 倉儲業,,60702085,52435829,59906194,65342591,74603860,75521682,80362617,81566379,76684025,76557486,70452651,67335266
G.運輸、倉儲及通信業,63 通信業,631 郵政業,4088725,3453155,4309873,5156467,6470477,7054644,7411410,7733202,6740158,6679117,5644431,4929363
G.運輸、倉儲及通信業,63 通信業,632 電信業,101192122,92371077,102600438,105568218,115387607,116099136,121068461,121260708,115438841,114971698,107688312,105766005
H.金融、保險及不動產業,65 金融及其輔助業,651 銀行業,32440033,27064761,31710897,34086279,41314709,44498698,46436243,48719888,44280573,42420450,39477686,36608013
H.金融、保險及不動產業,65 金融及其輔助業,652 信用合作社業,1715784,1400867,1511410,1652783,2246003,2440938,2663983,2739857,2654387,2351672,2243380,1957449
H.金融、保險及不動產業,65 金融及其輔助業,653 農會、漁會信用業,2579819,2153519,2427200,2782502,3592443,4014060,4381210,4571370,4215559,3974486,3601996,3173881
H.金融、保險及不動產業,65 金融及其輔助業,654 信託投資業,1525839,1267031,1429206,1387342,1670546,1760125,1847962,1936698,1720416,1727694,1518775,1355937
H.金融、保險及不動產業,65 金融及其輔助業,655 郵政儲金匯兌業,979103,783146,977419,1310214,1722163,1874726,1973322,2097713,1810674,1758465,1448926,1171762
H.金融、保險及不動產業,65 金融及其輔助業,659 其他金融及其輔助業,4893291,4336040,5295697,5796767,6453228,6752539,7118186,7306925,6485040,6505753,5768965,5506384
H.金融、保險及不動產業,66 證券及期貨業,661 證券業,6024676,4976826,5663868,6242817,7562900,7958705,8368938,8726936,8123475,7664248,7164088,6667552
H.金融、保險及不動產業,66 證券及期貨業,662 期貨業,63749,50346,56278,61640,85115,85501,93971,99139,90955,87443,82109,70149
H.金融、保險及不動產業,67 保險業,671 人身保險業,12943029,10730811,13523545,21814790,9865658,17726816,18438868,19232887,16884908,16564944,15522703,14709760
H.金融、保險及不動產業,67 保險業,672 財產保險業,2453793,2071860,2489414,2597030,2916982,3028451,3158622,3326345,2975842,2959873,2802038,2738614
H.金融、保險及不動產業,67 保險業,673 社會保險業,180702,145508,184404,190684,227380,242472,254185,271716,238930,225175,217380,209680
H.金融、保險及不動產業,67 保險業,674 保險輔助業,7151,5348,5792,6574,9308,9606,11282,11824,10700,9151,8890,8273
H.金融、保險及不動產業,67 保險業,675 再保險業,0,0,0,0,0,0,0,0,0,0,0,0
H.金融、保險及不動產業,67 保險業,679 其他保險業,195722,166316,170933,196386,258710,270189,276270,300054,285284,244830,250780,239454
H.金融、保險及不動產業,68 不動產業,681 不動產經營業,841873,682038,742936,845193,1148525,1254390,1394031,1423837,1367750,1238011,1143465,978807
H.金融、保險及不動產業,68 不動產業,682 市場及展示場管理業,1120647,972574,1134517,1319913,1590915,1715723,1921426,1939034,1797732,1677038,1503975,1336308
I.工商服務業,71 法律及會計服務業,711 法律服務業,235573,150953,223726,250379,317919,341197,352828,372710,327884,309832,272602,254079
I.工商服務業,71 法律及會計服務業,712 會計服務業,33997,31534,30904,33470,44020,49156,60636,60898,64637,53169,49431,38973
I.工商服務業,72 建築及工程技術服務業,,1301930,1026866,1330272,1358926,1652317,1761204,1843644,1946476,1676551,1633977,1523029,1418760
I.工商服務業,73 商品經紀業,,5998249,4943835,6372924,6684762,7728645,8356004,8614790,8995641,7526769,7578126,6604786,6385916
I.工商服務業,74 顧問服務業,,266948,236855,266502,279831,320522,345552,374353,397064,458237,203722,303839,295507
I.工商服務業,75 資訊服務業,,20564416,19277251,21043023,22237074,22951019,24700480,26370970,27848802,27604087,28694445,27730946,28611911
I.工商服務業,76 廣告業,,183515,149517,143829,163772,215706,232735,241719,259107,252313,225995,220771,202870
I.工商服務業,77 設計業,,89868,75465,87171,91119,111502,104924,111498,110273,112737,106680,105876,101547
I.工商服務業,78 租賃業,781 機械設備租賃業,285574,234636,291255,316946,347686,370234,398352,404692,364232,340606,315254,301474
I.工商服務業,78 租賃業,782 運輸工具設備租賃業,158428,134009,158011,160400,174810,184373,214955,223257,190329,190717,189412,173428
I.工商服務業,78 租賃業,783 物品租賃業,121302,111401,108694,111685,144820,142383,157531,166987,155915,151137,139617,130780
I.工商服務業,79 其他工商服務業,,79521291,68622082,78070799,83833923,96878411,101223283,107028493,112005670,103687282,99972234,93980881,89895174
J.社會服務及個人服務業,81 環境衛生及污染防治服務業,,36505899,32994277,37323103,38664252,41795609,38406964,39802774,41109319,41160128,45332159,41236387,41051423
J.社會服務及個人服務業,82 社會服務業,821 教育訓練服務業,192217253,152292387,222514614,253854925,327402524,327341160,259973280,263806272,290729132,318286114,260247782,236583059
J.社會服務及個人服務業,82 社會服務業,822 學術研究服務業,31367746,26946293,32627885,34907275,40607677,42277859,43899690,44466602,39916231,40724016,35555074,34136834
J.社會服務及個人服務業,82 社會服務業,823 醫療保健服務業,205262907,182191881,212943608,241027814,278406363,289485802,304911949,306380488,284460033,281659581,244927873,230757479
J.社會服務及個人服務業,82 社會服務業,824 社會福利服務業,7055633,6503343,7076929,7407253,9177342,10367495,11609662,11685271,10213824,9769350,8090456,7461707
J.社會服務及個人服務業,82 社會服務業,825 人民團體,5819453,5047560,5979727,6393144,7815112,8494889,9369394,9610564,8592465,8382571,7437149,6648512
J.社會服務及個人服務業,82 社會服務業,829 其他社會服務業,9801692,8966789,9928162,11008168,13322555,14233113,15729984,16033075,14354050,14115618,12446950,11226553
J.社會服務及個人服務業,83 出版業,831 新聞出版業,3525071,3072279,3566544,3677314,3935066,3989033,4188692,4280590,3887227,3862582,3674863,3570047
J.社會服務及個人服務業,83 出版業,832 雜誌(含期刊)出版業,919030,807529,846810,876414,1030875,1025701,1120929,1088940,1052973,1043800,980544,999300
J.社會服務及個人服務業,83 出版業,833 書籍出版業,390063,338639,350375,387534,505061,543630,624515,655239,627450,567476,535831,475328
J.社會服務及個人服務業,83 出版業,839 其他出版業,270037,212268,236597,305882,380983,474195,499069,442701,403774,386211,333511,306645
J.社會服務及個人服務業,84 電影事業,841 電影片製作業,164211,141294,153259,167392,204604,215236,227165,218144,181452,207670,176615,161435
J.社會服務及個人服務業,84 電影事業,842 電影片發行業,0,0,0,0,0,0,0,0,0,0,0,0
J.社會服務及個人服務業,84 電影事業,843 電影片放映業,3840394,3432149,3689161,4541355,5323605,5702221,6160834,6107918,5412904,5341514,4522067,4214959
J.社會服務及個人服務業,84 電影事業,844 電影工業,497820,456140,543940,603200,703260,718440,768260,753960,662900,683360,629900,613660
J.社會服務及個人服務業,85 廣播電視業,851 廣播業,3850212,3505394,3853321,3897966,4349304,4266453,4427586,4503936,4254780,4058143,4009686,3868422
J.社會服務及個人服務業,85 廣播電視業,852 電視業,8036179,6971761,7949693,8181118,9162446,9209634,9552562,9732857,9076032,8988030,8371507,8227521
J.社會服務及個人服務業,85 廣播電視業,853 廣播電視節目供應業,1812082,1549984,1797648,1832804,2059961,2121258,2298120,2336582,2220298,2063948,2018426,1960415
J.社會服務及個人服務業,86 藝文業,861 技藝表演業,364664,325360,391870,418417,537084,568484,670700,611445,552455,596952,597986,690036
J.社會服務及個人服務業,86 藝文業,862 文學及藝術業,1187984,990293,1368592,1675688,2039810,2062964,1848320,1886808,1915727,2005033,1762854,1639421
J.社會服務及個人服務業,86 藝文業,863 藝文服務業,3584215,3060850,3892347,4790780,5329568,5918558,6494157,6488817,5468262,5391267,4648197,4333028
J.社會服務及個人服務業,87 娛樂業,,45003643,40690794,44708408,49665382,60054809,63212206,70414868,72296320,64433116,63595741,56567414,51837185
J.社會服務及個人服務業,88 旅館業,,124685335,116151359,127455858,139661858,164861751,172341112,187803253,188096515,172739562,171408740,152870166,143188683
J.社會服務及個人服務業,89 個人服務業,891 汽車服務業,11986680,10282310,11462883,12255263,14753189,15335329,16597168,17215268,15989659,15410880,14115765,13060685
J.社會服務及個人服務業,89 個人服務業,892 修理服務業,1878820,1505593,1682760,1864855,2341700,2525923,2801107,2903570,2653827,2472741,2316343,2053250
J.社會服務及個人服務業,89 個人服務業,893 洗染業,2845353,2620543,2809366,2759898,3208637,3255260,3198321,3344566,3142929,3078607,3045863,3091554
J.社會服務及個人服務業,89 個人服務業,894 家事服務業,120146,109857,126604,133527,154118,152701,173507,173011,157993,150565,146002,131382
J.社會服務及個人服務業,89 個人服務業,899 其他個人服務業,18932882,16639009,18882437,19910846,24972152,25750322,28080914,29163859,27069060,25642403,24808918,21557813
K.公共行政業,91 公務機構及國防事業,911 公務機構,114424804,100415461,120524482,133270835,158720389,166980021,174746925,178544402,157718722,160664391,139730257,129678402
K.公共行政業,91 公務機構及國防事業,912 國防事業,65118094,56854231,67519509,73998948,87645115,93805176,97577031,101358187,85114602,87531411,74067095,69605582
K.公共行政業,92 國際機構及外國駐在機構,國際機構及外國駐在機構,2000533,1718706,1908936,2296359,2691635,2566586,2538970,3043975,2598245,2603852,2190408,1856487
X.其他不能歸類之行業,93 家庭用(住宅用),家庭用(住宅用),205514871,186241044,206227784,204071298,233487846,232840742,251109212,259032842,250257669,244669815,230738143,219551071
X.其他不能歸類之行業,94 其他不能歸類之行業,其他不能歸類之行業,190374539,164385458,185096488,201699481,235756787,247303723,260202466,268823996,254805444,246507194,234240044,229798853
